State_FIPS,County_FIPS,County,R_Trump_Election_Day,R_Trump_Absentee_Mail,R_Trump_Advanced_Voting,R_Trump_Provisional,R_Trump_Total,D_Biden_Election_Day,D_Biden_Absentee_Mail,D_Biden_Advanced_Voting,D_Biden_Provisional,D_Biden_Total,L_Jorgensen_Election_Day,L_Jorgensen_Absentee_Mail,L_Jorgensen_Advanced_Voting,L_Jorgensen_Provisional,L_Jorgensen_Total,Total
13,001,Appling,1753,890,3874,9,6526,334,587,855,3,1779,5,5,26,0,36,8341
13,003,Atkinson,716,164,1419,1,2300,250,130,445,0,825,14,3,13,0,30,3155
13,005,Bacon,431,487,3099,1,4018,140,196,288,1,625,8,4,13,0,25,4668
13,007,Baker,291,138,466,2,897,149,234,269,0,652,2,2,2,0,6,1555
13,009,Baldwin,1873,1290,5736,4,8903,1527,3000,4612,1,9140,63,38,107,0,208,18251
13,011,Banks,1644,1025,5116,10,7795,150,344,435,3,932,20,9,45,0,74,8801
13,013,Barrow,5885,4134,16782,3,26804,1717,3583,5150,3,10453,226,131,307,0,664,37921
13,015,Bartow,10179,5976,21499,19,37673,2175,4486,5423,7,12091,276,148,275,2,701,50465
13,017,Ben Hill,441,528,3140,1,4110,336,714,1342,0,2392,18,8,32,0,58,6560
13,019,Berrien,1835,749,3825,0,6409,333,367,568,0,1268,21,8,25,0,54,7731
13,021,Bibb,7921,5351,13234,0,26506,8702,14152,20380,0,43234,299,169,272,0,740,70480
13,023,Bleckley,942,614,2770,2,4328,295,428,588,0,1311,20,10,37,0,67,5706
13,025,Brantley,1992,685,4307,7,6991,145,204,349,1,699,24,11,21,0,56,7746
13,027,Brooks,1423,519,2312,6,4260,522,1115,1149,4,2790,16,9,25,0,50,7100
13,029,Bryan,2579,1588,10072,5,14244,838,2105,3794,2,6739,108,72,177,0,357,21340
13,031,Bulloch,6653,2800,8910,23,18386,2415,3530,5263,35,11243,192,87,175,1,455,30084
13,033,Burke,1949,649,2802,0,5400,1490,1867,1852,0,5209,25,14,36,0,75,10684
13,035,Butts,824,1136,6443,0,8403,376,972,1923,0,3271,22,20,49,0,91,11765
13,037,Calhoun,279,150,494,0,923,361,436,463,0,1260,6,3,2,0,11,2194
13,039,Camden,3621,2161,9465,4,15251,1166,2777,4021,3,7967,170,95,205,0,470,23688
13,043,Candler,1587,370,1172,0,3129,529,365,363,1,1258,23,4,2,0,29,4416
13,045,Carroll,11071,4699,21676,30,37476,3007,4634,8582,15,16238,278,125,357,0,760,54474
13,047,Catoosa,5170,2952,17025,20,25167,976,2130,3823,3,6932,178,78,236,2,494,32593
13,049,Charlton,1124,397,1896,2,3419,233,293,576,0,1102,17,7,20,0,44,4565
13,051,Chatham,18346,11832,23013,0,53191,17949,29152,31080,0,78181,889,509,519,0,1917,133289
13,053,Chattahoochee,291,132,455,2,880,150,166,350,1,667,17,9,8,1,35,1582
13,055,Chattooga,2464,1102,4492,6,8064,366,649,837,2,1854,50,25,57,0,132,10050
13,057,Cherokee,23758,19545,56171,0,99474,6598,17156,18929,0,42683,921,621,899,0,2441,144598
13,059,Clarke,3409,4014,6974,15,14412,5323,14250,16357,39,35969,268,241,325,3,837,51218
13,061,Clay,131,105,401,0,637,165,296,329,0,790,5,2,0,0,7,1434
13,063,Clayton,3401,4283,7987,0,15671,16576,26448,51341,0,94365,343,301,397,0,1041,111077
13,065,Clinch,618,209,1277,1,2105,235,156,356,0,747,2,2,8,0,12,2864
13,067,Cobb,37349,50761,76907,161,165178,30506,95508,95387,329,221730,2148,2320,1952,12,6432,393340
13,069,Coffee,2574,892,7066,0,10532,1094,958,2411,0,4463,41,16,67,0,124,15119
13,071,Colquitt,4270,1364,6132,10,11776,1108,1197,1877,3,4185,50,20,49,0,119,16080
13,073,Columbia,13300,7023,29643,47,50013,5009,9546,14648,33,29236,514,241,575,0,1330,80579
13,075,Cook,1113,486,3301,0,4900,538,512,1008,1,2059,26,14,36,0,76,7035
