State_FIPS,County_FIPS,County,R_Perdue_Election_Day,R_Perdue_Absentee_Mail,R_Perdue_Advanced_Voting,R_Perdue_Provisional,R_Perdue_Total,D_Ossoff_Election_Day,D_Ossoff_Absentee_Mail,D_Ossoff_Advanced_Voting,D_Ossoff_Provisional,D_Ossoff_Total,L_Hazel_Election_Day,L_Hazel_Absentee_Mail,L_Hazel_Advanced_Voting,L_Hazel_Provisional,L_Hazel_Total,Total
13,001,Appling,1686,837,3774,9,6306,352,553,845,3,1753,33,21,74,0,128,8187
13,003,Atkinson,709,170,1392,1,2272,220,123,430,0,773,23,3,26,0,52,3097
13,005,Bacon,417,465,3047,0,3929,127,187,276,1,591,24,9,37,0,70,4590
13,007,Baker,289,131,451,2,873,145,230,273,0,648,4,2,7,0,13,1534
13,009,Baldwin,1845,1291,5733,4,8873,1500,2837,4445,1,8783,110,93,223,0,426,18082
13,011,Banks,1595,982,5048,11,7636,152,325,420,2,899,56,27,106,1,190,8725
13,013,Barrow,5685,4024,16606,2,26317,1762,3334,4966,4,10066,361,243,589,0,1193,37576
13,015,Bartow,9917,5865,21209,17,37008,2188,4149,5318,8,11663,482,291,587,1,1361,50032
13,017,Ben Hill,427,507,3143,0,4077,338,664,1281,1,2284,25,28,63,0,116,6477
13,019,Berrien,1789,728,3760,0,6277,324,331,548,0,1203,56,28,75,0,159,7639
13,021,Bibb,7870,5425,13275,0,26570,8604,13247,19864,0,41715,440,360,604,0,1404,69689
13,023,Bleckley,931,603,2745,2,4281,292,383,574,0,1249,33,21,60,0,114,5644
13,025,Brantley,1924,663,4218,7,6812,163,190,334,1,688,46,12,58,0,116,7616
13,027,Brooks,1401,531,2312,6,4250,505,1010,1088,4,2607,36,26,57,0,119,6976
13,029,Bryan,2518,1562,9983,4,14067,853,1962,3679,3,6497,146,108,345,0,599,21163
13,031,Bulloch,6562,2751,8898,21,18232,2402,3295,5115,34,10846,272,139,304,0,715,29793
13,033,Burke,1934,663,2810,0,5407,1448,1751,1790,0,4989,63,43,58,0,164,10560
13,035,Butts,823,1123,6380,0,8326,372,892,1863,0,3127,29,46,140,0,215,11668
13,037,Calhoun,281,149,503,0,933,348,419,444,0,1211,15,3,10,0,28,2172
13,039,Camden,3495,2133,9355,4,14987,1143,2482,3839,3,7467,284,179,432,0,895,23349
13,043,Candler,1570,356,1147,0,3073,517,350,357,1,1225,33,10,17,0,60,4358
13,045,Carroll,10850,4597,21525,25,36997,2960,4251,8328,10,15549,496,273,653,5,1427,53973
13,047,Catoosa,5017,2835,16704,15,24571,964,1934,3695,6,6599,303,139,561,1,1004,32174
13,049,Charlton,1097,394,1865,1,3357,222,253,540,0,1015,31,15,58,0,104,4476
13,051,Chatham,18198,11846,22903,0,52947,17738,27457,30625,0,75820,1241,788,938,0,2967,131734
13,053,Chattahoochee,279,124,445,2,850,149,152,333,2,636,20,15,25,0,60,1546
13,055,Chattooga,2378,1045,4350,4,7777,391,628,865,2,1886,86,60,129,0,275,9938
13,057,Cherokee,23455,19695,56129,0,99279,6345,15488,17989,0,39822,1438,1027,1737,0,4202,143303
13,059,Clarke,3469,4307,7253,13,15042,5123,13409,15905,34,34471,431,380,506,4,1321,50834
13,061,Clay,128,113,406,0,647,166,266,316,0,748,5,10,6,0,21,1416
13,063,Clayton,3007,4031,7687,0,14725,16666,25198,50780,0,92644,658,680,1129,0,2467,109836
13,065,Clinch,605,213,1264,1,2083,212,130,318,0,660,16,8,30,0,54,2797
13,067,Cobb,37580,53543,78099,150,169372,29518,88393,92520,310,210741,3112,3470,3649,22,10253,390366
13,069,Coffee,2522,877,6981,0,10380,1062,877,2298,0,4237,85,44,155,0,284,14901
13,071,Colquitt,4205,1331,6098,9,11643,1083,1104,1799,3,3989,109,46,101,0,256,15888
13,073,Columbia,13296,7069,29810,45,50220,4837,8779,14116,27,27759,678,366,880,4,1928,79907
13,075,Cook,1104,472,3288,0,4864,521,481,960,1,1963,41,25,79,0,145,6972
13,077,Coweta,18105,9404,23787,3,51299,5199,8503,9201,12,22915,786,496,621,5,1908,76122
13,079,Crawford,1126,532,2671,1,4330,262,492,806,1,1561,39,32,64,0,135,6026
13,081,Crisp,978,795,3277,4,5054,545,829,1434,1,2809,33,19,53,0,105,7968
13,083,Dade,1942,614,3310,5,5871,268,346,637,2,1253,70,28,110,0,208,7332
13,085,Dawson,2279,1926,9009,0,13214,250,941,1096,0,2287,113,77,227,0,417,15918
13,087,Decatur,1448,816,4426,6,6696,777,1366,2414,6,4563,43,48,99,0,190,11449
13,089,DeKalb,12225,17712,31688,37,61662,33147,104427,159486,250,297310,1728,2230,3283,9,7250,366222
13,091,Dodge,2306,701,2781,0,5788,530,520,970,0,2020,48,21,69,0,138,7946
13,093,Dooly,467,266,1422,3,2158,460,441,923,2,1826,24,13,38,0,75,4059
13,095,Dougherty,4271,2399,3882,23,10575,7206,7590,8914,79,23789,222,121,156,1,500,34864
13,097,Douglas,4547,5324,14997,0,24868,5785,13290,22525,0,41600,446,453,731,0,1630,68098
