StateFIPS,CountyFIPS,County,Party,Candidate,Method,Votes
13,001,Appling,D,Ossoff,AbsenteeMail,553
13,001,Appling,D,Ossoff,AdvancedVoting,845
13,001,Appling,D,Ossoff,ElectionDay,352
13,001,Appling,D,Ossoff,Provisional,3
13,001,Appling,D,Ossoff,Total,1753
13,001,Appling,L,Hazel,AbsenteeMail,21
13,001,Appling,L,Hazel,AdvancedVoting,74
13,001,Appling,L,Hazel,ElectionDay,33
13,001,Appling,L,Hazel,Provisional,0
13,001,Appling,L,Hazel,Total,128
13,001,Appling,R,Perdue,AbsenteeMail,837
13,001,Appling,R,Perdue,AdvancedVoting,3774
13,001,Appling,R,Perdue,ElectionDay,1686
13,001,Appling,R,Perdue,Provisional,9
13,001,Appling,R,Perdue,Total,6306
13,003,Atkinson,D,Ossoff,AbsenteeMail,123
13,003,Atkinson,D,Ossoff,AdvancedVoting,430
13,003,Atkinson,D,Ossoff,ElectionDay,220
13,003,Atkinson,D,Ossoff,Provisional,0
13,003,Atkinson,D,Ossoff,Total,773
13,003,Atkinson,L,Hazel,AbsenteeMail,3
13,003,Atkinson,L,Hazel,AdvancedVoting,26
13,003,Atkinson,L,Hazel,ElectionDay,23
13,003,Atkinson,L,Hazel,Provisional,0
13,003,Atkinson,L,Hazel,Total,52
13,003,Atkinson,R,Perdue,AbsenteeMail,170
13,003,Atkinson,R,Perdue,AdvancedVoting,1392
13,003,Atkinson,R,Perdue,ElectionDay,709
13,003,Atkinson,R,Perdue,Provisional,1
13,003,Atkinson,R,Perdue,Total,2272
13,005,Bacon,D,Ossoff,AbsenteeMail,187
13,005,Bacon,D,Ossoff,AdvancedVoting,276
13,005,Bacon,D,Ossoff,ElectionDay,127
13,005,Bacon,D,Ossoff,Provisional,1
13,005,Bacon,D,Ossoff,Total,591
13,005,Bacon,L,Hazel,AbsenteeMail,9
13,005,Bacon,L,Hazel,AdvancedVoting,37
13,005,Bacon,L,Hazel,ElectionDay,24
13,005,Bacon,L,Hazel,Provisional,0
13,005,Bacon,L,Hazel,Total,70
13,005,Bacon,R,Perdue,AbsenteeMail,465
13,005,Bacon,R,Perdue,AdvancedVoting,3047
13,005,Bacon,R,Perdue,ElectionDay,417
13,005,Bacon,R,Perdue,Provisional,0
13,005,Bacon,R,Perdue,Total,3929
13,007,Baker,D,Ossoff,AbsenteeMail,230
13,007,Baker,D,Ossoff,AdvancedVoting,273
13,007,Baker,D,Ossoff,ElectionDay,145
13,007,Baker,D,Ossoff,Provisional,0
13,007,Baker,D,Ossoff,Total,648
13,007,Baker,L,Hazel,AbsenteeMail,2
13,007,Baker,L,Hazel,AdvancedVoting,7
13,007,Baker,L,Hazel,ElectionDay,4
13,007,Baker,L,Hazel,Provisional,0
13,007,Baker,L,Hazel,Total,13
13,007,Baker,R,Perdue,AbsenteeMail,131
13,007,Baker,R,Perdue,AdvancedVoting,451
13,007,Baker,R,Perdue,ElectionDay,289
13,007,Baker,R,Perdue,Provisional,2
13,007,Baker,R,Perdue,Total,873
13,009,Baldwin,D,Ossoff,AbsenteeMail,2837
13,009,Baldwin,D,Ossoff,AdvancedVoting,4445
13,009,Baldwin,D,Ossoff,ElectionDay,1500
13,009,Baldwin,D,Ossoff,Provisional,1
13,009,Baldwin,D,Ossoff,Total,8783
13,009,Baldwin,L,Hazel,AbsenteeMail,93
13,009,Baldwin,L,Hazel,AdvancedVoting,223
13,009,Baldwin,L,Hazel,ElectionDay,110
13,009,Baldwin,L,Hazel,Provisional,0
13,009,Baldwin,L,Hazel,Total,426
13,009,Baldwin,R,Perdue,AbsenteeMail,1291
13,009,Baldwin,R,Perdue,AdvancedVoting,5733
13,009,Baldwin,R,Perdue,ElectionDay,1845
13,009,Baldwin,R,Perdue,Provisional,4
13,009,Baldwin,R,Perdue,Total,8873
13,011,Banks,D,Ossoff,AbsenteeMail,325
13,011,Banks,D,Ossoff,AdvancedVoting,420
13,011,Banks,D,Ossoff,ElectionDay,152
13,011,Banks,D,Ossoff,Provisional,2
13,011,Banks,D,Ossoff,Total,899
13,011,Banks,L,Hazel,AbsenteeMail,27
13,011,Banks,L,Hazel,AdvancedVoting,106
13,011,Banks,L,Hazel,ElectionDay,56
13,011,Banks,L,Hazel,Provisional,1
13,011,Banks,L,Hazel,Total,190
13,011,Banks,R,Perdue,AbsenteeMail,982
13,011,Banks,R,Perdue,AdvancedVoting,5048
13,011,Banks,R,Perdue,ElectionDay,1595
13,011,Banks,R,Perdue,Provisional,11
13,011,Banks,R,Perdue,Total,7636
13,013,Barrow,D,Ossoff,AbsenteeMail,3334
13,013,Barrow,D,Ossoff,AdvancedVoting,4966
13,013,Barrow,D,Ossoff,ElectionDay,1762
13,013,Barrow,D,Ossoff,Provisional,4
13,013,Barrow,D,Ossoff,Total,10066
13,013,Barrow,L,Hazel,AbsenteeMail,243
13,013,Barrow,L,Hazel,AdvancedVoting,589
13,013,Barrow,L,Hazel,ElectionDay,361
13,013,Barrow,L,Hazel,Provisional,0
13,013,Barrow,L,Hazel,Total,1193
13,013,Barrow,R,Perdue,AbsenteeMail,4024
13,013,Barrow,R,Perdue,AdvancedVoting,16606
13,013,Barrow,R,Perdue,ElectionDay,5685
13,013,Barrow,R,Perdue,Provisional,2
13,013,Barrow,R,Perdue,Total,26317
