State_FIPS,County_FIPS,County,I_Bartell_Election_Day,I_Bartell_Absentee_Mail,I_Bartell_Advanced_Voting,I_Bartell_Provisional,I_Bartell_Total,I_Buckley_Election_Day,I_Buckley_Absentee_Mail,I_Buckley_Advanced_Voting,I_Buckley_Provisional,I_Buckley_Total,R_Collins_Election_Day,R_Collins_Absentee_Mail,R_Collins_Advanced_Voting,R_Collins_Provisional,R_Collins_Total,G_Fortuin_Election_Day,G_Fortuin_Absentee_Mail,G_Fortuin_Advanced_Voting,G_Fortuin_Provisional,G_Fortuin_Total,R_Grayson_Election_Day,R_Grayson_Absentee_Mail,R_Grayson_Advanced_Voting,R_Grayson_Provisional,R_Grayson_Total,I_Greene_Election_Day,I_Greene_Absentee_Mail,I_Greene_Advanced_Voting,I_Greene_Provisional,I_Greene_Total,R_Jackson_Election_Day,R_Jackson_Absentee_Mail,R_Jackson_Advanced_Voting,R_Jackson_Provisional,R_Jackson_Total,D_Jackson_Election_Day,D_Jackson_Absentee_Mail,D_Jackson_Advanced_Voting,D_Jackson_Provisional,D_Jackson_Total,D_James_Election_Day,D_James_Absentee_Mail,D_James_Advanced_Voting,D_James_Provisional,D_James_Total,R_Johnson_Election_Day,R_Johnson_Absentee_Mail,R_Johnson_Advanced_Voting,R_Johnson_Provisional,R_Johnson_Total,D_JohnsonShealey_Election_Day,D_JohnsonShealey_Absentee_Mail,D_JohnsonShealey_Advanced_Voting,D_JohnsonShealey_Provisional,D_JohnsonShealey_Total,D_Lieberman_Election_Day,D_Lieberman_Absentee_Mail,D_Lieberman_Advanced_Voting,D_Lieberman_Provisional,D_Lieberman_Total,R_Loeffler_Election_Day,R_Loeffler_Absentee_Mail,R_Loeffler_Advanced_Voting,R_Loeffler_Provisional,R_Loeffler_Total,D_Slade_Election_Day,D_Slade_Absentee_Mail,D_Slade_Advanced_Voting,D_Slade_Provisional,D_Slade_Total,L_Slowinski_Election_Day,L_Slowinski_Absentee_Mail,L_Slowinski_Advanced_Voting,L_Slowinski_Provisional,L_Slowinski_Total,I_Stovall_Election_Day,I_Stovall_Absentee_Mail,I_Stovall_Advanced_Voting,I_Stovall_Provisional,I_Stovall_Total,D_Tarver_Election_Day,D_Tarver_Absentee_Mail,D_Tarver_Advanced_Voting,D_Tarver_Provisional,D_Tarver_Total,R_Taylor_Election_Day,R_Taylor_Absentee_Mail,R_Taylor_Advanced_Voting,R_Taylor_Provisional,R_Taylor_Total,D_Warnock_Election_Day,D_Warnock_Absentee_Mail,D_Warnock_Advanced_Voting,D_Warnock_Provisional,D_Warnock_Total,D_Winfield_Election_Day,D_Winfield_Absentee_Mail,D_Winfield_Advanced_Voting,D_Winfield_Provisional,D_Winfield_Total,Total
13,001,Appling,8,3,8,0,19,5,9,7,0,21,543,346,1462,4,2355,8,6,3,0,17,19,12,58,0,89,6,2,7,0,15,19,7,25,0,51,58,86,162,0,306,24,19,45,0,88,22,1,41,0,64,13,10,30,1,54,20,20,45,0,85,496,338,971,2,1807,6,8,26,1,41,6,2,15,0,23,3,2,2,0,7,0,3,8,0,11,595,167,1266,2,2030,172,393,484,2,1051,9,7,9,0,25,8159
13,003,Atkinson,6,3,6,0,15,11,3,8,0,22,326,74,637,1,1038,3,0,2,0,5,16,4,35,0,55,3,1,5,0,9,19,2,17,0,38,41,23,85,0,149,15,2,25,0,42,13,1,22,0,36,14,6,33,0,53,22,9,25,0,56,275,89,582,0,946,8,0,7,0,15,7,1,2,0,10,1,0,5,0,6,1,4,3,0,8,21,2,40,0,63,111,61,234,0,406,7,3,13,0,23,2995
13,005,Bacon,4,0,4,0,8,5,0,8,0,13,157,196,1292,1,1646,5,2,3,0,10,11,18,64,0,93,4,3,2,0,9,5,3,38,0,46,28,28,49,0,105,9,14,16,0,39,18,4,64,0,86,12,5,17,1,35,10,13,26,0,49,142,232,1173,0,1547,3,0,9,0,12,4,0,8,0,12,0,1,2,0,3,2,2,3,0,7,65,27,370,0,462,57,110,148,0,315,5,3,7,0,15,4512
13,007,Baker,2,4,1,0,7,1,3,0,0,4,110,51,226,1,388,1,0,2,0,3,5,2,7,0,14,0,0,1,0,1,4,1,5,0,10,28,30,31,0,89,4,6,11,0,21,5,1,11,0,17,9,12,12,0,33,6,2,11,0,19,151,67,194,1,413,2,4,3,0,9,3,0,1,0,4,0,0,0,0,0,3,0,1,0,4,2,1,5,0,8,92,166,199,0,457,4,3,6,0,13,1514
13,009,Baldwin,14,20,23,0,57,21,19,32,0,72,664,483,2373,1,3521,13,6,26,0,45,50,20,92,0,162,16,11,36,0,63,43,18,60,0,121,233,279,686,0,1198,70,89,163,0,322,63,11,110,0,184,82,78,204,0,364,94,102,248,0,444,946,748,2942,3,4639,41,18,95,0,154,37,8,67,0,112,13,9,18,0,40,6,17,30,0,53,23,12,57,0,92,950,2238,2978,1,6167,31,32,69,0,132,17942
13,011,Banks,6,7,7,0,20,9,2,16,0,27,920,603,3181,6,4710,5,6,7,0,18,34,5,75,0,114,3,0,11,0,14,19,8,50,0,77,27,31,51,1,110,9,9,14,1,33,20,7,38,1,66,10,10,16,0,36,14,17,44,0,75,543,399,1659,4,2605,3,1,8,0,12,24,7,22,0,53,2,1,12,0,15,1,6,5,0,12,30,7,24,0,61,84,240,279,1,604,4,4,9,0,17,8679
13,013,Barrow,46,17,61,0,124,46,36,87,0,169,1941,1524,6205,1,9671,29,33,50,0,112,169,104,328,0,601,42,20,61,0,123,142,67,289,0,498,341,494,917,0,1752,89,136,203,0,428,115,32,238,0,385,114,165,318,0,597,168,194,394,0,756,3106,2314,9061,2,14483,73,40,146,0,259,156,66,217,0,439,33,19,57,0,109,18,34,50,0,102,116,46,262,0,424,882,2228,2912,3,6025,24,46,63,0,133,37190
13,015,Bartow,55,26,56,1,138,63,51,90,0,204,3258,2163,7459,10,12890,50,52,58,0,160,274,104,440,2,820,53,22,73,0,148,208,88,292,0,588,351,470,749,1,1571,104,130,237,0,471,173,39,227,0,439,132,145,297,2,576,247,292,485,1,1025,5526,3496,12157,4,21183,84,41,143,0,268,186,83,201,1,471,39,23,48,0,110,15,39,32,0,86,209,48,383,0,640,1292,3041,3319,3,7655,53,43,78,1,175,49618
13,017,Ben Hill,6,5,16,0,27,11,6,12,0,29,187,190,1503,0,1880,7,5,6,0,18,24,15,56,0,95,7,3,13,1,24,14,3,59,0,76,83,109,244,0,436,23,26,72,0,121,16,5,50,0,71,35,45,91,0,171,21,39,86,0,146,164,295,1321,0,1780,9,8,34,0,51,6,4,13,0,23,2,3,6,0,11,1,8,9,0,18,13,9,84,0,106,143,425,740,0,1308,6,10,37,0,53,6444
13,019,Berrien,12,4,11,0,27,7,8,9,0,24,681,308,1488,0,2477,7,8,6,0,21,48,19,74,0,141,10,1,15,0,26,16,10,31,0,57,52,48,108,0,208,16,16,22,0,54,32,7,63,0,102,13,13,36,0,62,28,36,38,0,102,936,404,1975,0,3315,13,2,14,0,29,10,3,12,0,25,4,5,2,0,11,2,4,7,0,13,57,4,78,0,139,187,183,331,0,701,6,7,9,0,22,7556
