state_abbreviation,PUMA,Citizens,PopPerSqMile,SimpleAge,Sex,CollegeGrad,Race5,AvgIncome
GA,100,622,254.5,Under,Female,NonGrad,R5_Other,13621
GA,100,6737,254.5,Under,Female,NonGrad,R5_Black,14405
GA,100,138,254.5,Under,Female,NonGrad,R5_Latinx,14922
GA,100,147,254.5,Under,Female,NonGrad,R5_Asian,0
GA,100,10916,254.5,Under,Female,NonGrad,R5_WhiteNonLatinx,18452
GA,100,459,254.5,Under,Female,Grad,R5_Other,1695
GA,100,1462,254.5,Under,Female,Grad,R5_Black,52831
GA,100,206,254.5,Under,Female,Grad,R5_Latinx,20078
GA,100,78,254.5,Under,Female,Grad,R5_Asian,16391
GA,100,4927,254.5,Under,Female,Grad,R5_WhiteNonLatinx,38558
GA,100,314,254.5,Under,Male,NonGrad,R5_Other,22988
GA,100,6826,254.5,Under,Male,NonGrad,R5_Black,20476
GA,100,691,254.5,Under,Male,NonGrad,R5_Latinx,42400
GA,100,54,254.5,Under,Male,NonGrad,R5_Asian,10000
GA,100,12243,254.5,Under,Male,NonGrad,R5_WhiteNonLatinx,31849
GA,100,265,254.5,Under,Male,Grad,R5_Other,88192
GA,100,831,254.5,Under,Male,Grad,R5_Black,20565
GA,100,37,254.5,Under,Male,Grad,R5_Latinx,1000
GA,100,3792,254.5,Under,Male,Grad,R5_WhiteNonLatinx,71186
GA,100,154,254.5,EqualOrOver,Female,NonGrad,R5_Other,14400
GA,100,6002,254.5,EqualOrOver,Female,NonGrad,R5_Black,26617
GA,100,229,254.5,EqualOrOver,Female,NonGrad,R5_Latinx,17102
GA,100,232,254.5,EqualOrOver,Female,NonGrad,R5_Asian,36059
GA,100,16602,254.5,EqualOrOver,Female,NonGrad,R5_WhiteNonLatinx,28468
GA,100,1308,254.5,EqualOrOver,Female,Grad,R5_Black,40666
GA,100,352,254.5,EqualOrOver,Female,Grad,R5_Latinx,84999
GA,100,70,254.5,EqualOrOver,Female,Grad,R5_Asian,200000
GA,100,9477,254.5,EqualOrOver,Female,Grad,R5_WhiteNonLatinx,59508
GA,100,4899,254.5,EqualOrOver,Male,NonGrad,R5_Black,29934
GA,100,323,254.5,EqualOrOver,Male,NonGrad,R5_Latinx,46029
GA,100,302,254.5,EqualOrOver,Male,NonGrad,R5_Asian,32666
GA,100,14629,254.5,EqualOrOver,Male,NonGrad,R5_WhiteNonLatinx,42642
GA,100,1003,254.5,EqualOrOver,Male,Grad,R5_Black,40660
GA,100,8446,254.5,EqualOrOver,Male,Grad,R5_WhiteNonLatinx,118807
GA,200,1377,238.0,Under,Female,NonGrad,R5_Other,12675
GA,200,3210,238.0,Under,Female,NonGrad,R5_Black,25385
GA,200,1212,238.0,Under,Female,NonGrad,R5_Latinx,24231
GA,200,27,238.0,Under,Female,NonGrad,R5_Asian,2427
GA,200,7707,238.0,Under,Female,NonGrad,R5_WhiteNonLatinx,17001
GA,200,1014,238.0,Under,Female,Grad,R5_Other,37605
GA,200,2442,238.0,Under,Female,Grad,R5_Black,25764
GA,200,678,238.0,Under,Female,Grad,R5_Latinx,42633
GA,200,189,238.0,Under,Female,Grad,R5_Asian,31625
GA,200,4372,238.0,Under,Female,Grad,R5_WhiteNonLatinx,23690
GA,200,991,238.0,Under,Male,NonGrad,R5_Other,29691
GA,200,5636,238.0,Under,Male,NonGrad,R5_Black,26600
GA,200,1688,238.0,Under,Male,NonGrad,R5_Latinx,47984
